Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,609823.00,463743.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,8/7/2023,8/5/2025,,21999375,21250021.00,10387633.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,1377802,312458.00,243506.00,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,3/5/2024,6/3/2024,,0,7108.00,1343.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,6000,5372.00,5372.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,88000.00,1128.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,6000,6000.00,4181.00,DSF0001086176
1,M022,NEW EXPLORATIONS - M,Fast Track Projects,LSP- VACUUM PUMPS REPLACEMENTS,Construction,In-Progress,2/8/2024,FTK,,FTK,186188.00,130500.00,DSF0001068167
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,DIIR,,DIIR,50000.00,0.00,DSF0001033717
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/6/2021,DOER,,DOER,80736.00,0.00,DSF0000961298
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,Complete,8/16/2022,DOER,4/11/2023,DOER,189971.00,921.00,DSF0001033234
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,265000.00,0.00,DSF0001112760
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,125000.00,0.00,DSF0001035621
1,M022,NEW EXPLORATIONS - M,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,8/12/2024,DOES,9/6/2024,DOES,65832.00,,DSF0001084938
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Scope,Complete,10/23/2018,3/13/2019,1/24/2020,118770,254421.00,253613.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Design,Complete,1/24/2020,6/24/2020,5/5/2021,586080,583102.00,537959.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Construction,Complete,8/13/2021,8/11/2024,8/14/2024,12514695,12852770.00,11782160.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,"CM,F&E",Complete,8/13/2021,8/11/2024,8/14/2024,889665,1572480.00,1525727.00,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,4450.00,4450.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,17800.00,17800.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,201929,188076.00,169532.00,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,234839,263751.00,258409.00,DSF0000960787
1,M025,I.S. 378 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,Complete,2/1/2019,EMER,6/5/2024,EMER,523752.00,519082.00,SCA0000056151
1,M025,LOWER EAST SIDE PREP HS - M,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,7/22/2024,DOES,8/9/2024,DOES,65832.00,12546.00,DSF0001084778
1,M025,I.S. 378 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/22/2024,DOES,,DOES,593902.00,0.00,DSF0001085731
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS / SCHOOLYARD RESURFACING,Scope,Complete,10/19/2018,12/30/2019,3/31/2020,294023,349176.00,323187.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069, DSF0001034277"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS / SCHOOLYARD RESURFACING,Design,Complete,12/7/2020,5/10/2021,5/18/2021,1450039,1194364.00,1055994.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069, DSF0001034277"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS / SCHOOLYARD RESURFACING,Construction,Complete,7/5/2022,12/20/2024,9/30/2024,31392155,29244704.00,28353608.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069, DSF0001034277"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS / SCHOOLYARD RESURFACING,"CM,F&E",Complete,7/5/2022,12/20/2024,9/30/2024,2211023,686339.00,636127.00,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069, DSF0001034277"
1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,140000,140000.00,0.00,DSF0000913873
1,M034,P.S. 34 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0001007798
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,12/1/2022,DOER,,DOER,34574.00,0.00,DSF0001007800
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,3/15/2024,DOER,,DOER,103169.00,0.00,DSF0001035626
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,5/25/2022,DOES,,DOES,92365.00,0.00,DSF0001008949
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,11/6/2024,DOES,,DOES,65832.00,0.00,DSF0001084623
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/30/2021,7/30/2021,7/22/2021,27380,43074.00,43074.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,8/2/2021,2/7/2022,2/1/2022,136900,172065.00,162459.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,PNS,PNS,PNS,3080255,3080255.00,104497.00,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",PNS,PNS,PNS,PNS,191660,191660.00,23938.00,DSF0000992308
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,51.00,51.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,92049,91998.00,202.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1350049,1687561.00,0.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,92049,115061.00,344.00,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001035640
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-WE ARE GOING TO NEED AN ABATEMENT AT M056. THE LOCATIONS ARE RMS. 313 AND 213 AND IT'S APPROXIM,Construction,In-Progress,4/12/2024,IEH,,IEH,0.00,0.00,SCA0000072923
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-HAVE THE GYM FLOOR CORE DRILLED AND TEST FOR ASBESTOS PRINCIPAL WOULD LIKE 2 HOLES MADE TO SUPP,Construction,Complete,7/29/2024,IEH,9/4/2024,IEH,0.00,0.00,SCA0000073193
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-IN BASEMENT MECHANICAL ROOM CELLAR: FAN ROOM# C25 (1025) - AUDITORIUM BLOWER CELLAR: FAN ROOM (,Construction,Complete,8/23/2024,IEH,8/25/2024,IEH,0.00,0.00,SCA0000073370
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-TEST AND ABATE GYM CEILING DRAIN LINE THAT IS LEAKING WE HAVE EARLY VOTING IN THE GYM  COMING U,Construction,Complete,9/19/2024,IEH,9/21/2024,IEH,0.00,0.00,SCA0000073398
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-ABATEMENT OF PIPE INSULATION 3RD FL SLOP SINK CRAWL SPACE SPACE ID : 4313A ( PIPE CHASE) IT IS,Construction,Complete,10/22/2024,IEH,11/10/2024,IEH,0.00,0.00,SCA0000073527
1,M056,J.H.S. 292 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000.00,0.00,DSF0000913568
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,120291.00,0.00,DSF0000913081
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,8669.00,0.00,DSF0001007786
1,M056,J.H.S. 292 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,12/3/2024,DOES,12/16/2024,DOES,65832.00,,DSF0001084783
1,M056,I.S. 332 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/8/2024,DOES,,DOES,574909.00,0.00,DSF0001085733
1,M056,MANHATTAN CHARTER SCHOOL II,Trust For Public Land,TPL- EXTREME WEATHER PLAYGROUND UPGRADE,Construction,Complete,2/10/2024,TPL,10/26/2024,TPL,2775498.00,2385830.00,DSF0001034698
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,5/16/2022,9/16/2022,8/2/2022,53927,79069.00,79069.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,8/8/2022,2/13/2023,5/8/2023,259893,204680.00,187734.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,5005043,5005043.00,590322.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,450541,450541.00,94567.00,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,Scope,Complete,3/14/2024,7/30/2024,11/18/2024,64763,93999.00,22859.00,"DSF0001111940, DSF0001124017, DSF0001124021"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,Design,PNS,PNS,PNS,PNS,304809,304809.00,5890.00,"DSF0001111940, DSF0001124017, DSF0001124021"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,5700807,5700807.00,1787.00,"DSF0001111940, DSF0001124017, DSF0001124021"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,540475,540475.00,17587.00,"DSF0001111940, DSF0001124017, DSF0001124021"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,PO18-ACM REMOVAL OF PIPE INSULATION 2ND FLOOR HALLWAY BETWEEN ROOMS 206 AND 208 WE ARE GOING TO NEED,Construction,In-Progress,9/3/2024,IEH,,IEH,0.00,0.00,SCA0000073343
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,PO18-ABATEMENT OF CEILING PLASTER IN THE BASEMENT IN FRONT OF AUDITORIUM DOORS AHERA BOOK 2006 - SPA,Construction,Complete,9/4/2024,IEH,9/4/2024,IEH,0.00,0.00,SCA0000073350
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,COVID VENTILATION,Construction,In-Progress,11/3/2020,FTK,,FTK,207210.00,190289.00,DSF0000961040
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,ROOF,Construction,In-Progress,5/16/2019,FTK,,FTK,1719207.00,1630567.00,DSF0000912294
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/31/2022,DOER,,DOER,38764.00,0.00,DSF0000961294
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,2623911.00,0.00,DSF0001035641
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,174000.00,0.00,DSF0001112773
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001112774
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,Complete,6/5/2023,DOES,10/23/2023,DOES,60921.00,,DSF0000866117
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,11/14/2024,DOES,,DOES,65832.00,0.00,DSF0001084941
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/1/2024,DOES,,DOES,444473.00,0.00,DSF0001085734
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,4/9/2019,8/22/2019,9/20/2019,22622,12127.00,12127.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,10/23/2019,3/27/2020,6/8/2020,113110,130382.00,116041.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,10/18/2021,4/10/2023,,2544967,2361261.00,2024565.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,10/18/2021,4/10/2023,,158354,635954.00,553755.00,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Scope,Complete,5/14/2024,9/30/2024,10/31/2024,96886,102296.00,89670.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Design,In-Progress,11/15/2024,4/21/2025,,452136,452136.00,17858.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,7169580,7169580.00,38069.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,710499,710499.00,21040.00,"DSF0001111902, DSF0001124039, DSF0001124041"
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/7/2022,11/4/2022,7/27/2022,3838,2363.00,2363.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/27/2022,1/25/2023,9/21/2022,17271,9450.00,9450.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,222607,204544.00,177952.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,117815,107139.00,75331.00,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA IEH,PO18-ACM REMOVAL OF PIPE INSULATION OVER THE AUDITORIUM ENTRY DOORS LOCATED IN THE 1ST FLOOR THE INS,Construction,In-Progress,7/24/2024,IEH,,IEH,0.00,0.00,SCA0000073170
1,M061,P.S. 361 - MANHATTAN,SCA IEH,PO18-ABATE WALL PLASTER IN ROOM 306 APPROX. 50 SQFT.,Construction,Complete,10/22/2024,IEH,12/17/2024,IEH,0.00,0.00,SCA0000073526
1,M061,P.S. 361 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112775
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,Complete,7/29/2022,DOER,4/11/2023,DOER,219727.00,,DSF0001033207
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001086194
